0.447	1	1.99131	-0.48256	-0.116906	
0.448	1	1.99131	-0.482503	-0.117443	
0.449	1	1.99131	-0.482445	-0.11798	
0.45	1	1.99131	-0.482387	-0.118516	
0.451	1	1.99131	-0.482328	-0.119053	
0.452	1	1.99131	-0.482268	-0.11959	
0.453	1	1.99131	-0.482207	-0.120126	
0.454	1	1.99131	-0.482146	-0.120663	
0.455	1	1.99131	-0.482084	-0.121199	
0.456	1	1.99131	-0.482022	-0.121736	
0.457	1	1.99131	-0.481959	-0.122272	
0.458	1	1.99131	-0.481895	-0.122808	
0.459	1	1.99131	-0.48183	-0.123344	
0.46	1	1.99131	-0.481765	-0.12388	
0.461	1	1.99131	-0.481699	-0.124416	
0.462	1	1.99131	-0.481632	-0.124952	
0.463	1	1.99131	-0.481565	-0.125488	
0.464	1	1.99131	-0.481497	-0.126024	
0.465	1	1.99131	-0.481428	-0.126559	
0.466	1	1.99131	-0.481359	-0.127095	
0.467	1	1.99131	-0.481288	-0.12763	
0.468	1	1.99131	-0.481218	-0.128166	
0.469	1	1.99131	-0.481146	-0.128701	
0.47	1	1.99131	-0.481074	-0.129236	
0.471	1	1.99131	-0.481001	-0.129771	
0.472	1	1.99131	-0.480928	-0.130306	
0.473	1	1.99131	-0.480853	-0.130841	
0.474	1	1.99131	-0.480778	-0.131376	
0.475	1	1.99131	-0.480703	-0.131911	
0.476	1	1.99131	-0.480627	-0.132445	
0.477	1	1.99131	-0.48055	-0.13298	
0.478	1	1.99131	-0.480472	-0.133514	
0.479	1	1.99131	-0.480394	-0.134049	
0.48	1	1.99131	-0.480315	-0.134583	
0.481	1	1.99131	-0.480235	-0.135117	
0.482	1	1.99131	-0.480154	-0.135651	
0.483	1	1.99131	-0.480073	-0.136185	
0.484	1	1.99131	-0.479992	-0.136719	
0.485	1	1.99131	-0.479909	-0.137253	
0.486	1	1.99131	-0.479826	-0.137786	
0.487	1	1.99131	-0.479742	-0.13832	
0.488	1	1.99131	-0.479658	-0.138853	
0.489	1	1.99131	-0.479572	-0.139386	
0.49	1	1.99131	-0.479486	-0.13992	
0.491	1	1.99131	-0.4794	-0.140453	
0.492	1	1.99131	-0.479313	-0.140986	
0.493	1	1.99131	-0.479225	-0.141519	
0.494	1	1.99131	-0.479136	-0.142051	
0.495	1	1.99131	-0.479047	-0.142584	
0.496	1	1.99131	-0.478957	-0.143117	
0.497	1	1.99131	-0.478866	-0.143649	
0.498	1	1.99131	-0.478775	-0.144181	
0.499	1	1.99131	-0.478683	-0.144714	
0.5	1	1.99131	-0.47859	-0.145246	
0.501	1	1.99131	-0.478497	-0.145778	
0.502	1	1.99131	-0.478402	-0.146309	
0.503	1	1.99131	-0.478308	-0.146841	
0.504	1	1.99131	-0.478212	-0.147373	
0.505	1	1.99131	-0.478116	-0.147904	
0.506	1	1.99131	-0.478019	-0.148436	
0.507	1	1.99131	-0.477922	-0.148967	
0.508	1	1.99131	-0.477824	-0.149498	
0.509	1	1.99131	-0.477725	-0.150029	
0.51	1	1.99131	-0.477625	-0.15056	
0.511	1	1.99131	-0.477525	-0.151091	
0.512	1	1.99131	-0.477424	-0.151621	
0.513	1	1.99131	-0.477322	-0.152152	
0.514	1	1.99131	-0.47722	-0.152682	
0.515	1	1.99131	-0.477117	-0.153212	
0.516	1	1.99131	-0.477014	-0.153742	
0.517	1	1.99131	-0.476909	-0.154272	
0.518	1	1.99131	-0.476804	-0.154802	
0.519	1	1.99131	-0.476699	-0.155332	
0.52	1	1.99131	-0.476592	-0.155862	
0.521	1	1.99131	-0.476485	-0.156391	
0.522	1	1.99131	-0.476378	-0.15692	
0.523	1	1.99131	-0.476269	-0.157449	
0.524	1	1.99131	-0.47616	-0.157978	
0.525	1	1.99131	-0.47605	-0.158507	
0.526	1	1.99131	-0.47594	-0.159036	
0.527	1	1.99131	-0.475829	-0.159565	
0.528	1	1.99131	-0.475717	-0.160093	
0.529	1	1.99131	-0.475605	-0.160621	
0.53	1	1.99131	-0.475491	-0.16115	
0.531	1	1.99131	-0.475378	-0.161678	
0.532	1	1.99131	-0.475263	-0.162205	
0.533	1	1.99131	-0.475148	-0.162733	
0.534	1	1.99131	-0.475032	-0.163261	
0.535	1	1.99131	-0.474916	-0.163788	
0.536	1	1.99131	-0.474798	-0.164316	
0.537	1	1.99131	-0.47468	-0.164843	
0.538	1	1.99131	-0.474562	-0.16537	
0.539	1	1.99131	-0.474443	-0.165896	
0.54	1	1.99131	-0.474323	-0.166423	
